Landing Page URL,Impressions,Clicks,CTR,Conversions,Conv Rate,Cost (£),Conv Value (£),ROAS
https://www.nda.ac.uk/blog/is-your-interior-design-course-accredited-and-should-you-care/,52,4,7.69%,0.0,0.00%,£17.33,£0.00,0.00
https://www.nda.ac.uk/blog/youve-got-your-interior-design-diploma-what-happens-next/,17,1,5.88%,0.0,0.00%,£0.10,£0.00,0.00
https://www.nda.ac.uk/international,93,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/international-students/,36,1,2.78%,0.0,0.00%,£6.34,£0.00,0.00
http://motorsport.nda.ac.uk/how-to-apply/,178,1,0.56%,0.0,0.00%,£1.85,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma,320,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/short-courses/exterior-design/,765,58,7.58%,0.0,0.00%,£23.44,£0.00,0.00
https://www.nda.ac.uk/blog/finding-the-right-interior-design-course/,18,2,11.11%,0.0,0.00%,£0.61,£0.00,0.00
https://www.nda.ac.uk/blog/develop-interior-design-portfolio/,9,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/about/,262,49,18.70%,0.0,0.00%,£47.05,£0.00,0.00
https://www.nda.ac.uk/contact/,66,11,16.67%,0.0,0.00%,£37.92,£0.00,0.00
https://www.nda.ac.uk/blog/freelance-interior-designer-tips/,437,30,6.86%,0.0,0.00%,£34.69,£0.00,0.00
https://www.nda.ac.uk/study/enrolment-terms/,27,1,3.70%,0.0,0.00%,£1.67,£0.00,0.00
https://www.nda.ac.uk/blog/nda-dubai-visit/,144,15,10.42%,0.0,0.00%,£50.66,£0.00,0.00
https://www.nda.ac.uk/blog/tutor-spotlight-martin-nealon/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma-curtains-soft-furnishings/,238,17,7.14%,0.0,0.00%,£14.48,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/in-studio-interior-design/,79,9,11.39%,0.0,0.00%,£8.48,£0.00,0.00
https://motorsport.nda.ac.uk/how-to-apply/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
http://www.nda.ac.uk/courses/Diploma-in-Professional-Garden-Design.aspx,196,1,0.51%,0.0,0.00%,£0.15,£0.00,0.00
https://www.nda.ac.uk/blog/10-reasons-we-offer-the-best-interior-design-courses/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/international/how-to-enrol,32,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/virtuzone-obtaining-interior-design-license-important/,1,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/how-to-enrol/?utm_source=SITELINK&utm_medium=CPC&utm_campaign=SITELINK&utm_term=NA&utm_content=SITELINK,107283,282,0.26%,0.0,0.00%,£20.72,£0.00,0.00
https://www.nda.ac.uk/blog/the-interior-design-process-part-1-where-to-start-with-room-planning/,304,23,7.57%,0.0,0.00%,£25.44,£0.00,0.00
https://www.nda.ac.uk/study/courses/ba-hons-top-up-degree/interior-design/,210,9,4.29%,0.0,0.00%,£15.15,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma-interior-design/?utm_source=NEWGADS08.20&utm_medium=CPC&utm_campaign=RELEVANT-INTERIOR-ARCHITECTURE-CAREER&utm_term=INTERIOR%20ARCHITECTURE%20CAREER,950,99,10.42%,0.0,0.00%,£218.88,£0.00,0.00
https://www.nda.ac.uk/blog/how-to-create-the-best-interior-design-cv/,111,14,12.61%,0.0,0.00%,£13.81,£0.00,0.00
http://motorsport.nda.ac.uk/our-courses/,240,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/our-top-10-bookshelf-must-haves-for-interior-designers/,386,34,8.81%,0.0,0.00%,£54.45,£0.00,0.00
http://motorsport.nda.ac.uk/news/,52,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/ma/interior-design/,88,9,10.23%,0.0,0.00%,£21.21,£0.00,0.00
https://motorsport.nda.ac.uk/study-online/,34,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/in-studio-garden-design/,153,13,8.50%,0.0,0.00%,£32.55,£0.00,0.00
https://www.nda.ac.uk/blog/quick-and-simple-kitchen-hacks-for-interior-designers-to-elevate-their-clients-home-living/,48,3,6.25%,0.0,0.00%,£0.25,£0.00,0.00
https://www.nda.ac.uk/study/design-courses/,5674,752,13.25%,0.0,0.00%,£651.61,£0.00,0.00
https://www.nda.ac.uk/study/courses/diploma/garden-design/,0,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/blog/funding-your-interior-design-course/,19,2,10.53%,0.0,0.00%,£4.76,£0.00,0.00
https://applications.nda.ac.uk/apply,2173,1,0.05%,0.0,0.00%,£0.43,£0.00,0.00
https://www.nda.ac.uk/in-studio-dubai-courses/,418,29,6.94%,0.0,0.00%,£44.03,£0.00,0.00
https://www.nda.ac.uk/alumni/article/how-to-develop-your-interior-design-portfolio/,3,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
https://www.nda.ac.uk/online-learning/?utm_source=Google%20Ad&utm_medium=CPC&utm_campaign=Study%20at%20Home%20Google%20Ad&utm_term=online%20learning&utm_content=UK%20Ad,356,0,0.00%,0.0,0.00%,£0.00,£0.00,0.00
