Search Term,Campaign Name,Campaign Type,Clicks
huge magnatiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,38
superspace magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,109
large magnetic tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,313
toddler toys,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,22
giant magnetic tiles for fort,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,67
the big set 24 panels,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,6
magnetic fort kit,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,1
superspace fort,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,72
extra large magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,84
getsuperspace,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,15
big magnetic blocks,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,21
fort building,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,142
super space magnetic tiles,SUP | US | Shopping Branded 500 15/7 550 6/10,Shopping,109
super space magnetic tiles,SUP | US | Search | Brand Superspace 6/2 700 Test Brand Inclusion,Search,8
magnatile fort,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,25
space tile,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,4
felt fort tiles,SUP | US | Shopping Brand Excluded 700 9/1 500 15/7 550 6/10,Shopping,5
giant magna tiles,SUP | US | Search | Generics 650 4/5 AI Max 3/7 Off 15/7 500 On 6/8 550 6/10,Search,1296
superspace the big set,SUP | US | Search | Brand Inclusion 21/5 550 15/7 incl removed 6/10,Search,43
space magnetic tiles,SUP | US | P Max 700 Brand Excluded 24/2 500 15/7 550 6/10,Performance Max,22
